Date,Sample,Rinses,pH
28-Feb-19,CRM 175,,7.842532688
28-Feb-19,CRM 175,,7.843866094
28-Feb-19,Tris_bottle batch 9,5,8.257797567
28-Feb-19,Tris_bottle batch 9,5,8.257806432
28-Feb-19,Tris_bottle batch 9,5,8.258060749
28-Feb-19,Tris_bag 1,6,8.256000097
28-Feb-19,Tris_bag 1,6,8.256325525
28-Feb-19,Tris_bag 1,6,8.25599859
28-Feb-19,Tris_bag 2,7,8.25667061
28-Feb-19,Tris_bag 2,7,8.255714504
28-Feb-19,Tris_bag 2,7,8.256935461
28-Feb-19,Tris_bag 3,8,8.256125892
28-Feb-19,Tris_bag 3,8,8.256875229
28-Feb-19,Tris_bag 3,8,8.255420908
28-Feb-19,Tris_bag 4,9,8.257279516
28-Feb-19,Tris_bag 4,9,8.254834494
28-Feb-19,Tris_bag 4,9,8.256120213
28-Feb-19,Tris_bottle batch 9,10,8.256582723
28-Feb-19,Tris_bottle batch 9,10,8.25751636
28-Feb-19,Tris_bottle batch 9,10,8.256931716
28-Feb-19,CRM 175,,7.865224285
28-Feb-19,CRM 175,,7.859154652
1-Apr-19,CRM 175,,7.844192672
1-Apr-19,CRM 175,,7.843925725
1-Apr-19,Tris_bottle batch 9,5,8.255900686
1-Apr-19,Tris_bottle batch 9,5,8.258488442
1-Apr-19,Tris_bottle batch 9,5,8.257264963
1-Apr-19,Tris_bag 1,6,8.256519558
1-Apr-19,Tris_bag 1,6,8.255691478
1-Apr-19,Tris_bag 1,6,8.255613726
1-Apr-19,Tris_bag 2,7,8.255882356
1-Apr-19,Tris_bag 2,7,8.254694472
1-Apr-19,Tris_bag 2,7,8.256258693
1-Apr-19,Tris_bag 3,8,8.255491069
1-Apr-19,Tris_bag 3,8,8.256244949
1-Apr-19,Tris_bag 3,8,8.2555299
1-Apr-19,Tris_bag 4,9,8.255418576
1-Apr-19,Tris_bag 4,9,8.256218061
1-Apr-19,Tris_bag 4,9,8.255558755
1-Apr-19,Tris_bottle batch 9,10,8.25789123
1-Apr-19,Tris_bottle batch 9,10,8.256389568
1-Apr-19,Tris_bottle batch 9,10,8.257357989
1-Apr-19,CRM 175,,7.867460579
1-Apr-19,CRM 175,,7.857495914
14-May-19,CRM 176,,7.950552558
14-May-19,CRM 176,,7.949569525
14-May-19,Tris_bottle batch 9,5,8.256902794
14-May-19,Tris_bottle batch 9,5,8.256977678
14-May-19,Tris_bottle batch 9,5,8.257926344
14-May-19,Tris_bag 1,6,8.254274754
14-May-19,Tris_bag 1,6,8.254603144
14-May-19,Tris_bag 1,6,8.25627897
14-May-19,Tris_bag 2,7,8.25695178
14-May-19,Tris_bag 2,7,8.25542514
14-May-19,Tris_bag 2,7,8.255527184
14-May-19,Tris_bag 3,8,8.254175511
14-May-19,Tris_bag 3,8,8.254721248
14-May-19,Tris_bag 3,8,8.254934884
14-May-19,Tris_bag 4,9,8.254513678
14-May-19,Tris_bag 4,9,8.253792965
14-May-19,Tris_bag 4,9,8.254915676
14-May-19,Tris_bottle batch 9,10,8.256987344
14-May-19,Tris_bottle batch 9,10,8.256594737
14-May-19,Tris_bottle batch 9,10,8.258025005
14-May-19,CRM 176,,7.963232926
14-May-19,CRM 176,,7.95705382
