STATION(Palomar Airport),DATE (LST),REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation(in),HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed
72292703177,2020-01-01T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,37,52,0,,0.02,8,57,30.04,CLR:00,29.69,10,45,80,,5
72292703177,2020-01-01T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,36,52,0,,,,55,30.03,CLR:00,29.69,10,45,80,,3
72292703177,2020-01-01T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,35,51,0,,,,54,30.05,CLR:00,29.7,10,44,50,,5
72292703177,2020-01-01T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,35,52,0,,-0.03,3,53,30.06,CLR:00,29.72,10,44,60,,6
72292703177,2020-01-01T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,36,49,0,,,,61,30.04,CLR:00,29.7,10,43,60,,3
72292703177,2020-01-01T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,36,49,0,,,,61,30.05,CLR:00,29.7,10,43,70,,5
72292703177,2020-01-01T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,35,50,0,,0,5,57,30.06,CLR:00,29.7,10,43,80,,5
72292703177,2020-01-01T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,36,53,0,,,,52,30.06,CLR:00,29.72,10,45,80,,5
72292703177,2020-01-01T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,37,58,0,,,,46,30.05,CLR:00,29.7,10,48,110,,6
72292703177,2020-01-01T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,37,62,0,,-0.01,3,40,30.07,CLR:00,29.72,10,50,0,,0
72292703177,2020-01-01T10:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,35,63,0,,,,35,30.04,CLR:00,29.7,10,50,240,,6
72292703177,2020-01-01T11:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,41,63,0,,,,45,30.01,CLR:00,29.66,10,52,220,,8
72292703177,2020-01-01T12:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98,49,62,0,,0.1,8,62,29.97,CLR:00,29.63,10,55,210,,8
72292703177,2020-01-01T13:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,52,62,0,HZ:7 |FU |HZ,,,70,29.94,CLR:00,29.59,6,56,200,,9
72292703177,2020-01-01T14:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,53,61,0,HZ:7 |FU |HZ,,,75,29.96,CLR:00,29.61,5,57,250,,7
72292703177,2020-01-01T15:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,55,60,0,,0.01,5,84,29.96,FEW:02 11,29.61,8,57,240,,5
72292703177,2020-01-01T16:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,54,58,0,,,,87,29.94,CLR:00,29.59,9,56,200,,6
72292703177,2020-01-01T17:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,54,57,0,,,,90,29.93,CLR:00,29.59,9,55,170,,3
72292703177,2020-01-01T18:31:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,54,57,,,,,90,,FEW:02 9,29.56,9,55,160,,5
72292703177,2020-01-01T18:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,54,57,0,,0.04,8,90,29.91,BKN:07 9,29.57,8,55,150,,3
72292703177,2020-01-01T19:21:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,54,57,,,,,90,,OVC:08 10,29.57,8,55,0,,0
72292703177,2020-01-01T19:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,54,56,0,,,,93,29.93,BKN:07 11,29.58,8,55,0,,0
72292703177,2020-01-01T20:12:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,54,56,,,,,93,,SCT:04 13,29.57,8,55,130,,3
72292703177,2020-01-01T20:27:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,54,56,,,,,93,,BKN:07 13,29.57,8,55,120,,6
72292703177,2020-01-01T20:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,54,56,0,,,,93,29.92,OVC:08 12,29.58,9,55,110,,7
72292703177,2020-01-01T21:21:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,53,56,,,,,90,,BKN:07 16,29.58,9,54,110,,5
72292703177,2020-01-01T21:32:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,52,55,,,,,90,,SCT:04 17,29.57,9,53,100,,5
