Sample Time,Sample #,Main Batt,Vtherm,Vint,Vext Ref,Iso Batt,Controller Temp,pH Temp,Pressure (dBar),pH Int,pH Ext,Counter Leak,Substrate Leak,P/N,S/N,Oxygen uM,O2 Sat,Optode Temp,SBE Temp,Conductivity,Salinity,Unnamed: 22,O2_corr uM,pH Int recalc,pH Ext recalc
2020-02-05 17:30:25,#0000676,17.57,1.38434,0.069477,-0.8739129999999999,5.74,14.16,13.6,5.026370091340287,8.47357,   -inf,0.0,1.2842,4835,496,300.746,92.96,13.77,13.7596,4.00471,33.4517,,244.51149550389377,8.28276910821742,8.161077715111448
2020-02-05 18:00:25,#0000677,17.57,1.38228,0.069356,-0.874872,5.73,14.13,13.654000000000002,4.909452962309981,8.470894,   -inf,0.0,1.2842,4835,496,301.63599999999997,93.436,13.867,13.8822,4.0182400000000005,33.4706,,245.25337858537907,8.279797550451995,8.142603241723725
2020-02-05 18:30:25,#0000678,17.57,1.3807399999999999,0.070913,-0.8753549999999999,5.73,14.26,13.694,4.785535833279676,8.497844,   -inf,0.0,1.2745,4835,496,301.877,93.564,13.892999999999999,13.8806,4.01952,33.4839,,245.42748183466526,8.30714722523957,8.134336042795889
2020-02-05 19:00:25,#0000679,17.57,1.38123,0.068997,-0.875017,5.73,14.23,13.681,4.709618704249371,8.464312,   -inf,0.0,1.2809,4835,496,302.527,93.698,13.86,13.883,4.01484,33.4383,,246.02585641330964,8.273488570874441,8.139586215928205
2020-02-05 19:30:25,#0000680,17.57,1.38681,0.070853,-0.871733,5.73,14.15,13.536,4.584701575219065,8.498412,   -inf,0.0,1.2817,4835,496,309.64599999999996,95.529,13.683,13.646,3.98464,33.3636,,251.83591997697465,8.307734871042756,8.199898329089653
2020-02-05 20:00:25,#0000681,17.57,1.386,0.07160599999999999,-0.8733290000000001,5.73,14.09,13.557,4.534784446188759,8.511438,   -inf,0.0,1.2896,4835,496,311.921,96.36200000000001,13.745,13.7403,3.9936800000000003,33.3658,,253.72044636821065,8.32030290937199,8.170415444612626
2020-02-05 20:30:25,#0000682,17.57,1.38362,0.070653,-0.873969,5.74,14.16,13.619000000000002,4.405867317158454,8.494043,   -inf,0.0,1.285,4835,496,313.132,96.89299999999999,13.819,13.8173,4.00181,33.3743,,254.72222890896214,8.303023786219985,8.158097935093672
2020-02-05 21:00:25,#0000683,17.57,1.38315,0.071224,-0.871276,5.74,14.17,13.630999999999998,4.316950188128148,8.503957000000002,   -inf,0.0,1.2833,4835,496,312.816,96.79,13.815999999999999,13.7784,3.99994,33.3909,,254.42247038023115,8.313324865725573,8.206239889153652
2020-02-05 21:30:25,#0000684,17.57,1.38476,0.07197100000000001,-0.874193,5.73,14.15,13.59,4.263033059097843,8.517513000000001,   -inf,0.0,1.2807,4835,496,311.295,96.223,13.770999999999999,13.7564,3.9962,33.3751,,253.20091961579357,8.326601166181677,8.155119991076447
2020-02-05 22:00:25,#0000685,17.57,1.38295,0.071707,-0.873576,5.74,14.15,13.637,4.183115930067538,8.512389,   -inf,0.0,1.2819,4835,496,313.777,97.13600000000001,13.839,13.8325,4.00235,33.3662,,255.26409771408967,8.321427482239775,8.164648446209608
2020-02-05 22:30:25,#0000686,17.56,1.38268,0.073051,-0.870468,5.73,14.21,13.642999999999999,4.134198801037232,8.535931,   -inf,0.0,1.2771,4835,496,313.812,97.13,13.831,13.8068,3.99969,33.3638,,255.28553293533565,8.345213279630979,8.219599864553285
2020-02-05 23:00:25,#0000687,17.56,1.37955,0.073311,-0.872923,5.73,14.22,13.725,4.130281672006927,8.539663000000001,   -inf,0.0,1.275,4835,496,314.082,97.443,13.937999999999999,13.938,4.0128,33.3714,,255.5464092315662,8.34884282433259,8.174545566978228
2020-02-05 23:30:25,#0000688,17.56,1.38066,0.071016,-0.8742610000000001,5.73,14.24,13.696,4.150364542976621,8.499641,   -inf,0.0,1.2774,4835,496,311.45099999999996,96.491,13.874,13.8523,4.0048900000000005,33.3725,,253.36965824423066,8.309153868445783,8.152401390643401
2020-02-06 00:00:25,#0000689,17.56,1.37958,0.073312,-0.872942,5.74,14.23,13.724,4.212447413946315,8.539682,   -inf,0.0,1.2768,4835,496,312.957,97.057,13.921,13.9126,4.0099800000000005,33.3673,,254.62793971277262,8.349041685601117,8.17454961164419
2020-02-06 00:30:25,#0000690,17.56,1.37839,0.073296,-0.871898,5.74,14.28,13.755,4.2615302849160095,8.539075,   -inf,0.0,1.2728,4835,496,313.986,97.448,13.954,13.9298,4.01079,33.36,,255.4841010890284,8.348638019387815,8.192505745948633
2020-02-06 01:00:25,#0000691,17.56,1.3763,0.07318999999999999,-0.8731549999999999,5.73,14.25,13.809000000000001,4.340613155885704,8.536645,   -inf,0.0,1.2765,4835,496,315.70799999999997,98.11200000000001,14.014000000000001,13.999,4.01892,33.3752,,256.8899348417439,8.346283831964811,8.169576926871548
2020-02-06 01:30:25,#0000692,17.56,1.3753799999999998,0.072176,-0.872656,5.73,14.34,13.833,4.444696026855397,8.518588000000001,   -inf,0.0,1.2716,4835,496,318.39,98.979,14.03,14.0204,4.01941,33.3612,,259.10440294760616,8.328335641129398,8.17780223000175
2020-02-06 02:00:25,#0000693,17.56,1.37258,0.072986,-0.871836,5.74,14.42,13.905999999999999,4.556778897825093,8.532053999999999,   -inf,0.0,1.2674,4835,496,317.435,98.889,14.125,14.075,4.02281,33.3453,,258.3759676891618,8.342162812698115,8.191112812647452
2020-02-06 02:30:25,#0000694,17.56,1.36681,0.072505,-0.8741559999999999,5.73,14.55,14.057,4.697861768794787,8.522051,   -inf,0.0,1.2595,4835,496,316.719,99.029,14.293,14.2927,4.05282,33.4337,,257.74223788096987,8.332182441964083,8.148283417363455
2020-02-06 03:00:25,#0000695,17.56,1.36394,0.074149,-0.871441,5.75,14.6,14.132,4.796944639764481,8.55012,   -inf,0.0,1.2591,4835,496,316.295,99.021,14.35,14.3357,4.05262,33.3946,,257.4777555590578,8.360698986318644,8.194658035904402
2020-02-06 03:30:25,#0000696,17.55,1.35913,0.071764,-0.8724799999999999,5.74,14.71,14.258,4.888027510734176,8.506981,   -inf,0.0,1.2478,4835,496,313.92900000000003,98.581,14.49,14.4782,4.0761199999999995,33.4873,,255.46374349717377,8.31788785386815,8.17553313492134
2020-02-06 04:00:25,#0000697,17.55,1.35617,0.07280299999999999,-0.873589,5.73,14.78,14.335,4.97411038170387,8.524410000000001,   -inf,0.0,1.2484,4835,496,311.184,97.865,14.558,14.5646,4.08281,33.4739,,253.28620841454514,8.33548177176869,8.154568671702792
