"Current time"	2018/04/17 17:43:42
"First sample"	1900/01/01 00:01:52
"Time zone"	GMT
"File name"	ahl_0417.txt
"User initials"	tpk
"Sampling period (s)"	1800
"pH Sample average"	10
"Pump on time (s)"	25
"Low battery voltage (V)"	10.500000
"TCOffset"	0.000000
"Eo_int_25C"	-0.392144
"Eo_ext_25C"	-1.334647
"Default salinity (ppt)"	0.000000
"Sensor name"	na
"DuraFET SN"	na
"CAP adapter SN"	na
"ISE SN"	na
"MicroCAT SN"	na
"Pump SN"	na
"Pressure sensor full-scale (psi)"	100
"Vint gain"	1
"Vint sample rate (sps)"	5
"Deploy mode (pump on)"

"Sample #"	"Sample Time"	"Main Batt"	"Vtherm"	"Vint"	"Vext Ref"	"Iso Batt"	"Controller Temp"	"pH Temp"	"Pressure (dBar)"	"pH Int"	"pH Ext"	"Counter Leak"	"Substrate Leak"	"P/N"	"S/N"	"Oxygen uM"	"O2 Sat"	"Optode Temp"	"SBE Temp"	"Conductivity"	"Salinity"	
#0000000	2018/04/17 17:44:09	18.86	 1.02812	0.065281	-0.844298	 5.77	24.74	23.723	-0.431	7.741560	8.301639	 0.0000	 0.4573	4835	496	270.665	101.601	23.274	  19.6927	  0.00011	   0.0098
#0000001	2018/04/17 18:00:25	18.87	 0.95605	0.065410	-0.843284	 5.75	24.23	26.072	-0.422	7.726531	8.295017	 0.0000	 0.4506	4835	496	266.282	105.301	26.080	  21.1743	  0.00012	   0.0104
#0000002	2018/04/17 18:30:25	18.86	 1.29097	0.079854	-0.833078	 5.76	19.75	16.071	 5.336	8.053491	8.577031	 0.0000	 0.7175	4835	496	328.516	102.900	14.374	  13.4374	  3.98594	  33.5586
#0000003	2018/04/17 19:00:25	18.87	 1.35269	0.080552	-0.833311	 5.75	16.48	14.427	 5.416	8.080040	8.591768	 0.0000	 1.0302	4835	496	328.323	101.557	13.802	  13.4879	  3.99098	  33.5614
#0000004	2018/04/17 19:30:25	18.86	 1.37305	0.080018	-0.833261	 5.75	15.65	13.894	 5.388	8.075366	8.598804	 0.0000	 1.0911	4835	496	325.823	100.482	13.667	  13.5380	  3.99540	  33.5589
#0000005	2018/04/17 20:02:20	18.86	 1.38109	0.079462	-0.833338	 5.75	15.71	13.685	 5.354	8.067436	8.599854	 0.0000	 1.1070	4835	496	324.289	99.912	13.623	  13.5492	  3.99679	  33.5621
#0000006	2018/04/17 20:32:51	18.85	 1.38211	0.079592	-0.832930	 5.73	15.34	13.658	 5.219	8.069951	8.607332	 0.0000	 1.1183	4835	496	326.275	100.658	13.683	  13.6530	  4.00669	  33.5635
#0000007	2018/04/17 21:03:28	18.85	 1.37983	0.079466	-0.832807	 5.75	15.28	13.717	 5.144	8.067217	8.608808	 0.0000	 1.1196	4835	496	328.297	101.523	13.791	  13.7740	  4.01767	  33.5598
#0000008	2018/04/17 21:34:02	18.85	 1.37742	0.079491	-0.832628	 5.73	15.25	13.780	 5.022	8.067108	8.611228	 0.0000	 1.1212	4835	496	329.251	101.954	13.851	  13.8100	  4.01910	  33.5417
#0000009	2018/04/17 22:05:11	18.84	 1.36281	0.080815	-0.830995	 5.75	15.45	14.161	 4.909	8.086993	8.635455	 0.0000	 1.1143	4835	496	331.421	103.795	14.367	  14.4132	  4.07731	  33.5545
#0000010	2018/04/17 22:30:25	18.85	 1.35383	0.081198	-0.830423	 5.75	14.98	14.397	 4.822	8.091635	8.642736	 0.0000	 1.1125	4835	496	331.346	104.227	14.567	  14.5814	  4.09453	  33.5667
#0000011	2018/04/17 23:00:25	18.84	 1.34481	0.081732	-0.829728	 5.73	15.18	14.634	 4.743	8.098885	8.652133	 0.0000	 1.1045	4835	496	332.068	104.977	14.797	  14.7945	  4.11477	  33.5674
